id,name,russian,url,kind,score,status,volumes,chapters,episodes,episodes_aired,aired_on,released_on
64471,Dragon Lies,,/mangas/64471-dragon-lies,light_novel,0.0,released,4,21,,,2011-09-17,2012-10-18
55553,Haiiro no Iris,,/mangas/55553-haiiro-no-iris,light_novel,0.0,released,5,28,,,2002-07-25,2004-03-25
56875,Nobara Sex,,/mangas/56875-nobara-sex,light_novel,0.0,released,1,5,,,2011-11-02,
57215,OP-Ticket Game,,/mangas/57215-op-ticket-game,light_novel,0.0,released,2,0,,,2013-04-10,2014-02-08
57309,Variable Axel,,/mangas/57309-variable-axel,light_novel,0.0,released,3,0,,,2013-07-13,2014-04-15
100841,Little Tamer,,/mangas/100841-little-tamer,light_novel,0.0,ongoing,0,0,,,2016-09-10,
111791,Raise On Fantasy: Gambler wa Isekai wo Ouka suru,,/mangas/111791-raise-on-fantasy-gambler-wa-isekai-wo-ouka-suru,light_novel,0.0,released,1,5,,,2017-12-20,
58647,Yorozuya Taimashi no Hensai Keika,,/mangas/58647-yorozuya-taimashi-no-hensai-keika,light_novel,0.0,released,3,18,,,2013-04-25,2014-02-25
101199,Furou Shoujo to Mahou Kyuoju,Вечно молодая девушка и профессор магии,/mangas/101199-furou-shoujo-to-mahou-kyuoju,light_novel,0.0,released,1,6,,,2016-09-14,
59073,Maou Kourin!,,/mangas/59073-maou-kourin,light_novel,0.0,released,1,0,,,2007-03-01,
101749,Majutsushi-tachi no Shuushoku Sensen,,/mangas/101749-majutsushi-tachi-no-shuushoku-sensen,light_novel,0.0,ongoing,0,0,,,2016-10-28,
85289,Kabocha Atama no Lanthan,,/mangas/85289-kabocha-atama-no-lanthan,light_novel,0.0,released,3,21,,,2015-01-23,2015-08-25
77777,Right x Light,,/mangas/77777-right-x-light,light_novel,0.0,released,12,74,,,2007-10-18,2011-05-18
61791,Shikimontsukai wa Himitsu no Hiiragi-san,,/mangas/61791-shikimontsukai-wa-himitsu-no-hiiragi-san,light_novel,0.0,released,2,0,,,2012-12-15,2013-04-15
61799,Ore no Flag wa Yoridori Mi-dere,,/mangas/61799-ore-no-flag-wa-yoridori-mi-dere,light_novel,0.0,released,3,18,,,2011-03-29,2012-06-27
63123,Shin Meikai Road Grass,,/mangas/63123-shin-meikai-road-grass,light_novel,0.0,released,5,39,,,2010-03-25,2011-03-25
67529,Toro Fuwa Milky Hanayome Shuugyou: Goshujinsama to Maid,,/mangas/67529-toro-fuwa-milky-hanayome-shuugyou-goshujinsama-to-maid,light_novel,0.0,released,1,6,,,2014-02-04,
67757,Guren no Oujo to Zettai Kioku no Kuro Ouji,,/mangas/67757-guren-no-oujo-to-zettai-kioku-no-kuro-ouji,light_novel,0.0,released,2,0,,,2014-02-20,2015-05-20
108637,Mugen Senbukyoku,,/mangas/108637-mugen-senbukyoku,light_novel,0.0,ongoing,0,0,,,2017-08-25,
129468,"Tensei Daiseijo, Jitsuryoku wo Kakushite Renkinjutsu Gakka ni Nyuugaku suru: Mofumofu ni Aisareta Reijou wa, Mofumofu Igai no Mono ni mo Dekiai sareru","Реинкарнированная Великая Святая скрывает свои способности и поступает на факультет алхимии: Юная леди, которую любил Мофумофу, обожаема всеми, кроме Мофумофу",/mangas/129468-tensei-daiseijo-jitsuryoku-wo-kakushite-renkinjutsu-gakka-ni-nyuugaku-suru-mofumofu-ni-aisareta-reijou-wa-mofumofu-igai-no-mono-ni-mo-dekiai-sareru,light_novel,0.0,ongoing,0,0,,,2020-04-25,
88869,Anime Alive,Живое аниме,/mangas/88869-anime-alive,light_novel,0.0,released,1,0,,,2012-10-10,
102966,Kuzu Kuma-san to Hachimitsu JK,,/mangas/102966-kuzu-kuma-san-to-hachimitsu-jk,light_novel,0.0,ongoing,0,0,,,2016-12-23,
90264,"Houkago no Game Friend, Kimi no Ita Kisetsu",,/mangas/90264-houkago-no-game-friend-kimi-no-ita-kisetsu,light_novel,0.0,released,1,6,,,2015-07-24,
